X,Y,full_id,osm_id,osm_type,amenity,wheelchair,covered,name,network,opening_hours,operator,website,description,layer,location,contact:website,kids,source:alt_name,alt_name
7.373007,46.9457993,n2876650914,"2876650914",node,bicycle_rental,yes,,,,,,,,,,,,,
7.4679041,46.9567567,n5321064222,"5321064222",node,bicycle_rental,,yes,Mingerstrasse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4294783,46.9545061,n5690516891,"5690516891",node,bicycle_rental,,,Unitobler Ost,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4304383,46.9515386,n5690594002,"5690594002",node,bicycle_rental,,,Bühlstrasse Uni,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4255796,46.9561859,n5715816574,"5715816574",node,bicycle_rental,,,Länggasse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4374951,46.9570874,n5715820592,"5715820592",node,bicycle_rental,,,Bierhübeli,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4352681,46.9557873,n5715830046,"5715830046",node,bicycle_rental,,,Uni Mittelstrasse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4300202,46.9526707,n5715844544,"5715844544",node,bicycle_rental,,,Pauluskirche,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4264803,46.9538943,n5715847590,"5715847590",node,bicycle_rental,,,Waldheim,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4284232,46.953322,n5715851939,"5715851939",node,bicycle_rental,,,Uni Muesmatt,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4227243,46.9519628,n5715857289,"5715857289",node,bicycle_rental,,,Fabrikstrasse Uni Bern,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4318289,46.9565701,n5715858645,"5715858645",node,bicycle_rental,,,Neufeldstrasse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4239431,46.9534815,n5715860137,"5715860137",node,bicycle_rental,,,Hochschulzentrum von Roll,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4280423,46.955608,n5715861341,"5715861341",node,bicycle_rental,,,Hochfeldstrasse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4306967,46.9541313,n5715865802,"5715865802",node,bicycle_rental,,,Unitobler West,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
7.4624274,46.9627398,n5718388539,"5718388539",node,bicycle_rental,,,Sempachstrasse Stade de Suisse,Velohauptstadt,24/7,PubliBike,https://www.publibike.ch/,,,,,,,
