"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"calpal","VERA-229","5650","32","6431","81","0.0","","Antonshöhe","Antonshöhe","","","","Neolithic","Mährish-bemalt | Lengyel","","bone","human","Austria                                                                                             ","48.149000000000001","16.244499999999999",""
"calpal","VRI-730","4720","100","5447","289","0.0","","Attersee","Attersee","","","","Neolithic","Mondseekultur","","wood","","Austria                                                                                             ","47.916200000000003","13.533899999999999",""
"calpal","VRI-775","4610","10","5316","36","0.0","","Attersee","Attersee","","","","Neolithic","Mondseekultur","","wood","","Austria                                                                                             ","47.916200000000003","13.533899999999999",""
"calpal","VERA-233B","5429","30","6239","48","0.0","","Bernhardsthal","Bernhardsthal","","","","Neolithic","Mährish-bemalt","","bone","human","Austria                                                                                             ","48.692500000000003","16.869199999999999",""
"calpal","VERA-413","5344","33","6124","126","0.0","","Ebelsberg","Ebelsberg","","","","Neolithic","Mährish-bemalt","","bone","human","Austria                                                                                             ","48.2455","14.327999999999999",""
"calpal","Bln-235","5540","50","6340","86","0.0","","Falkenstein","Falkenstein","","","","Neolithic | Ia/Ib","Lengyel","","charcoal","","Austria                                                                                             ","48.700000000000003","16.566700000000001",""
"calpal","VERA-1977","5826","32","6641","90","0.0","","Friebritz","Friebritz","","","","Neolithic","Lengyel | Mährish-bemalt","","bone","human","Austria                                                                                             ","48.649999999999999","16.416599999999999",""
"calpal","VERA-1978","5847","30","6666","87","0.0","","Friebritz","Friebritz","","","","Neolithic","Lengyel | Mährish-bemalt","","bone","human","Austria                                                                                             ","48.649999999999999","16.416599999999999",""
"calpal","VERA-3224","5747","34","6544","90","0.0","","Friebritz","Friebritz","","","","Neolithic","Lengyel | Mährish-bemalt","","bone","animal","Austria                                                                                             ","48.649999999999999","16.416599999999999",""
"calpal","VERA-3225","5791","25","6596","74","0.0","","Friebritz","Friebritz","","","","Neolithic","Lengyel | Mährish-bemalt","","bone","animal","Austria                                                                                             ","48.649999999999999","16.416599999999999",""
"calpal","VERA-1949","5918","36","6736","89","0.0","","Glaubendorf","Glaubendorf","","","","Neolithic","Lengyel","","bone","animal","Austria                                                                                             ","48.508699999999997","15.942600000000001",""
"calpal","VERA-1950","5745","37","6542","94","0.0","","Glaubendorf","Glaubendorf","","","","Neolithic","Lengyel","","bone","animal","Austria                                                                                             ","48.508699999999997","15.942600000000001",""
"calpal","VERA-1952","5838","31","6656","87","0.0","","Glaubendorf","Glaubendorf","","","","Neolithic","Lengyel","","bone","animal","Austria                                                                                             ","48.508699999999997","15.942600000000001",""
"calpal","VERA-1953","5864","32","6688","70","0.0","","Glaubendorf","Glaubendorf","","","","Neolithic","Lengyel","","bone","animal","Austria                                                                                             ","48.508699999999997","15.942600000000001",""
"calpal","VERA-236","5738","32","6532","94","0.0","","Hollabrunn","Hollabrunn","","","","Neolithic","Mährish-bemalt | Lengyel","","bone","animal","Austria                                                                                             ","48.563200000000002","16.077100000000002",""
"calpal","VERA-3435","5850","36","6669","98","0.0","","Immendorf","Immendorf","","","","Neolithic","Lengyel","","bone","animal","Austria                                                                                             ","48.633299999999998","16.100000000000001",""
"calpal","VERA-1958","5796","36","6596","91","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1962","5719","34","6506","106","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1963a","5740","28","6533","90","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1964","5766","33","6567","81","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1965","5713","39","6498","116","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1968","5743","32","6538","91","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VERA-1961","5790","31","6592","82","0.0","","Kamegg","Kamegg","","","","Neolithic","Mährish-bemalt | Lengyel Ia | Lengyel","","bone","animal","Austria                                                                                             ","48.610199999999999","15.657299999999999",""
"calpal","VRI-1550","5230","60","5996","178","0.0","","Keutschacher See","Keutschacher See","","","","Neolithic","Epi-Lengyel | Epilengyel","","wood","","Austria                                                                                             ","46.585599999999999","14.160299999999999",""
"calpal","OxA-22936","6228","34","7161","133","0.0","","Kleinhadersdorf","Kleinhadersdorf","","","","Neolithic","Linienbandkeramik","","bone","human","Austria                                                                                             ","48.664299999999997","16.590499999999999",""
"calpal","oxa-22937","6156","33","7067","98","0.0","","Kleinhadersdorf","Kleinhadersdorf","","","","Neolithic","Linienbandkeramik","","bone","human","Austria                                                                                             ","48.664299999999997","16.590499999999999",""
"calpal","oxa-22940","6215","32","7102","129","0.0","","Kleinhadersdorf","Kleinhadersdorf","","","","Neolithic","Linienbandkeramik","","bone","human","Austria                                                                                             ","48.664299999999997","16.590499999999999",""
"calpal","oxa-22941","6214","32","7100","130","0.0","","Kleinhadersdorf","Kleinhadersdorf","","","","Neolithic","Linienbandkeramik","","bone","human","Austria                                                                                             ","48.664299999999997","16.590499999999999",""
"calpal","vera-2166","6090","35","6954","177","0.0","","Kleinhadersdorf","Kleinhadersdorf","","","","Neolithic","Linienbandkeramik","","bone","human","Austria                                                                                             ","48.664299999999997","16.590499999999999",""
